id,name,gender,age,height,weight
51,Nstor Ab,M,23,167,64
55,Antonio ,M,26,170,65
110,Abubakar,M,20,175,66
126,Forough ,F,20,164,58
251,Bashir A,M,27,176,56
273,Maizurah,F,17,147,50
402,Arthur A,M,30,184,85
412,Tesfaye ,M,24,192,68
430,Matthew ,M,20,180,74
455,Denis Mi,M,24,161,62
463,Agnese b,F,17,166,60
465,Matthew ,M,30,197,92
511,Tadesse ,M,33,178,61
532,Iason Ab,M,25,176,82
533,Yelena V,F,28,182,95
535,Yevgeny ,M,26,181,80
551,Aliyah A,F,19,163,53
554,Benik Ab,M,31,186,115
574,rika Abr,F,38,164,52
578,Bourhan ,M,21,180,70
593,Methkal ,M,32,168,67
611,Mohammed,M,23,170,67
613,Kariman ,F,22,180,70
650,Javier C,M,18,182,68
668,Gemma Ac,F,23,163,54
679,Ioan Val,M,23,183,87
720,Marcelo ,M,20,,
804,Antoine ,M,27,180,79
811,Natalie ,F,24,173,65
823,Liam Ada,M,29,178,64
846,Valerie ,F,31,193,120
900,Oluwakem,F,23,166,63
915,Abrar Os,M,22,168,58
931,Nyakisi ,F,30,,
961,Bradley ,M,22,188,80
1017,Nathan G,M,27,198,100
1052,Jasper A,M,23,191,86
1053,Luca Aer,M,20,177,80
1081,Alessia ,F,18,168,58
1087,Evelina ,F,17,162,60
1162,Levon Ag,M,21,193,75
1173,Yannick ,M,24,202,90
1200,Debora A,F,22,166,52
1234,Alessand,F,38,165,50
1242,Evelis J,F,23,173,64
1265,Yulenmis,F,20,165,66
1320,Kelsie A,F,25,170,63
1405,Mohammed,M,25,182,56
1421,Masbah A,M,21,,
1439,Murielle,F,28,165,58
1462,Michelle,F,24,160,64
1464,Ai Yanha,F,14,168,54
1477,Neringa ,F,33,177,60
1488,Harry Le,M,27,180,87
1526,Samir At,M,26,167,65
1527,Souad At,F,37,158,50
1561,Mobolade,M,20,180,62
1575,Stella A,F,22,166,60
1599,Meryem (,F,23,171,51
1600,Tark Lan,M,28,176,60
1648,Yerdos Z,M,28,180,72
1682,Morolake,F,22,163,61
1696,Malika A,F,28,160,49
1697,Halil Ak,M,33,175,58
1721,Ahmed Ak,M,19,188,80
1746,Sonia Ak,F,19,,
1749,Shirin A,F,21,159,50
1780,Mazoon K,F,18,182,
1787,Tariq Ah,M,25,165,49
1807,Mary Al-,F,22,170,57
1832,Nada Moh,F,18,162,53
1856,Sultan M,M,31,192,86
1943,Dalal Ma,F,16,160,55
1946,Barakat ,M,28,173,67
1993,Hajar Sa,F,21,160,45
2008,Noah Abd,M,17,190,86
2021,Fatema A,F,17,167,60
2090,Moukheld,M,40,163,60
2119,Yaaqoub ,M,20,175,62
2135,Mayada A,F,23,,
2169,Hicham A,M,23,172,61
2197,Saud Al-,M,27,,
2236,Salima E,F,32,179,58
2314,Markel A,M,24,187,76
2408,Aurelie ,F,22,169,47
2414,Chimene ,F,31,169,69
2467,Eric Jav,M,30,180,81
2537,Habitam ,F,19,171,52
2551,Arnaud A,M,20,185,92
2574,Kineke A,F,30,178,65
2604,Khaido A,F,25,180,60
2663,Ahmed Al,M,22,173,75
2683,Kame Ali,M,32,185,84
2688,Mehboob ,M,26,,
2695,Nia Sifa,F,27,170,65
